COUNTRY,Country_1,PAYP,Pay_period,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
KOR,Korea,H,Hourly,2012,2012,KRW,Won,0,Units,null,null,4580,null,null,null
KOR,Korea,H,Hourly,2013,2013,KRW,Won,0,Units,null,null,4860,null,null,null
KOR,Korea,H,Hourly,2014,2014,KRW,Won,0,Units,null,null,5210,null,null,null
KOR,Korea,H,Hourly,2015,2015,KRW,Won,0,Units,null,null,5580,null,null,null
KOR,Korea,H,Hourly,2016,2016,KRW,Won,0,Units,null,null,6030,null,null,null
KOR,Korea,H,Hourly,2017,2017,KRW,Won,0,Units,null,null,6470,null,null,null
KOR,Korea,H,Hourly,2018,2018,KRW,Won,0,Units,null,null,7530,null,null,null
KOR,Korea,H,Hourly,2019,2019,KRW,Won,0,Units,null,null,8350,null,null,null
KOR,Korea,H,Hourly,2020,2020,KRW,Won,0,Units,null,null,8590,null,null,null
KOR,Korea,H,Hourly,2021,2021,KRW,Won,0,Units,null,null,8720,null,null,null
KOR,Korea,H,Hourly,2022,2022,KRW,Won,0,Units,null,null,9160,null,null,null
TUR,Türkiye,M,Monthly,2000,2000,TRY,Turkish Lira,0,Units,null,null,114.3,null,null,null
TUR,Türkiye,M,Monthly,2001,2001,TRY,Turkish Lira,0,Units,null,null,152.2,null,null,null
TUR,Türkiye,M,Monthly,2002,2002,TRY,Turkish Lira,0,Units,null,null,236.4,null,null,null
TUR,Türkiye,M,Monthly,2003,2003,TRY,Turkish Lira,0,Units,null,null,306,null,null,null
TUR,Türkiye,M,Monthly,2004,2004,TRY,Turkish Lira,0,Units,null,null,433.6,null,null,null
TUR,Türkiye,M,Monthly,2005,2005,TRY,Turkish Lira,0,Units,null,null,488.7,null,null,null
TUR,Türkiye,M,Monthly,2006,2006,TRY,Turkish Lira,0,Units,null,null,531,null,null,null
TUR,Türkiye,M,Monthly,2007,2007,TRY,Turkish Lira,0,Units,null,null,573.8,null,null,null
TUR,Türkiye,M,Monthly,2008,2008,TRY,Turkish Lira,0,Units,null,null,623.6,null,null,null
TUR,Türkiye,M,Monthly,2009,2009,TRY,Turkish Lira,0,Units,null,null,679.5,null,null,null
TUR,Türkiye,M,Monthly,2010,2010,TRY,Turkish Lira,0,Units,null,null,744.8,null,null,null
TUR,Türkiye,M,Monthly,2011,2011,TRY,Turkish Lira,0,Units,null,null,816.8,null,null,null
TUR,Türkiye,M,Monthly,2012,2012,TRY,Turkish Lira,0,Units,null,null,913.5,null,null,null
TUR,Türkiye,M,Monthly,2013,2013,TRY,Turkish Lira,0,Units,null,null,1000.1,null,null,null
TUR,Türkiye,M,Monthly,2014,2014,TRY,Turkish Lira,0,Units,null,null,1102.5,null,null,null
