LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure_1,TIME,Year,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2009,2009,USD,US Dollar,0,Units,null,null,38865.406022,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2010,2010,USD,US Dollar,0,Units,null,null,40099.497886,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2011,2011,USD,US Dollar,0,Units,null,null,41666.718851,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2012,2012,USD,US Dollar,0,Units,null,null,42290.879082,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2013,2013,USD,US Dollar,0,Units,null,null,44298.514462,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2014,2014,USD,US Dollar,0,Units,null,null,45753.782936,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2015,2015,USD,US Dollar,0,Units,null,null,44670.054374,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,null,null,46472.368771,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,null,null,48317.191163,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,null,null,49992.811418,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,null,null,50522.150242,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,null,null,48618.167552,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2021,2021,USD,US Dollar,0,Units,null,null,55801.206845,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2022,2022,USD,US Dollar,0,Units,null,null,62056.14535,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,null,null,13845.448493,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,null,null,14684.444814,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,null,null,14822.62404,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,null,null,14976.788177,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,null,null,15397.922823,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,null,null,16209.975231,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,null,null,17613.183924,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,null,null,18245.669005,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,null,null,19524.493353,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,null,null,20912.530266,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,null,null,22045.99888,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,null,null,23858.911618,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2007,2007,USD,US Dollar,0,Units,null,null,26227.579948,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2008,2008,USD,US Dollar,0,Units,null,null,27853.549898,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2009,2009,USD,US Dollar,0,Units,null,null,27634.86089,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2010,2010,USD,US Dollar,0,Units,null,null,27763.600068,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2011,2011,USD,US Dollar,0,Units,null,null,28999.754757,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2012,2012,USD,US Dollar,0,Units,null,null,29258.904853,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2013,2013,USD,US Dollar,0,Units,null,null,30828.526409,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2014,2014,USD,US Dollar,0,Units,null,null,32504.217576,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2015,2015,USD,US Dollar,0,Units,null,null,33909.309243,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2016,2016,USD,US Dollar,0,Units,null,null,36101.285601,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2017,2017,USD,US Dollar,0,Units,null,null,38842.896268,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2018,2018,USD,US Dollar,0,Units,null,null,41157.370409,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,null,null,44870.504406,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,null,null,43913.10315,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2021,2021,USD,US Dollar,0,Units,null,null,47551.158,null,null,null
CZE,Czechia,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2022,2022,USD,US Dollar,0,Units,null,null,51625.603254,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,null,null,22695.604866,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,null,null,23737.913899,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,null,null,24923.754454,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,null,null,25819.810595,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,null,null,26657.827372,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,null,null,28670.440874,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,null,null,29455.813488,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,null,null,30639.953691,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,null,null,30825.373573,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,null,null,32948.915893,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,null,null,34152.881663,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,null,null,37336.026657,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2007,2007,USD,US Dollar,0,Units,null,null,39025.336805,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2008,2008,USD,US Dollar,0,Units,null,null,41282.995471,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2009,2009,USD,US Dollar,0,Units,null,null,40330.917703,null,null,null
DNK,Denmark,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2010,2010,USD,US Dollar,0,Units,null,null,43000.910089,null,null,null
