LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure_1,TIME,Year,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2018,2018,USD,US Dollar,0,Units,2015,2015,47749.112361,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2019,2019,USD,US Dollar,0,Units,2015,2015,48555.640765,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2020,2020,USD,US Dollar,0,Units,2015,2015,45801.906336,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2021,2021,USD,US Dollar,0,Units,2015,2015,48741.262789,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2022,2022,USD,US Dollar,0,Units,2015,2015,49804.253438,P,Provisional value,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",1995,1995,USD,US Dollar,0,Units,2015,2015,33398.386662,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",1996,1996,USD,US Dollar,0,Units,2015,2015,33609.307781,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",1997,1997,USD,US Dollar,0,Units,2015,2015,34701.265749,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",1998,1998,USD,US Dollar,0,Units,2015,2015,35754.184629,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",1999,1999,USD,US Dollar,0,Units,2015,2015,37287.980742,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2000,2000,USD,US Dollar,0,Units,2015,2015,38840.633049,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2001,2001,USD,US Dollar,0,Units,2015,2015,39141.401992,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2002,2002,USD,US Dollar,0,Units,2015,2015,39879.31923,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2003,2003,USD,US Dollar,0,Units,2015,2015,40235.38312,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2004,2004,USD,US Dollar,0,Units,2015,2015,41094.394054,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2005,2005,USD,US Dollar,0,Units,2015,2015,42015.013107,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2006,2006,USD,US Dollar,0,Units,2015,2015,42689.84905,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2007,2007,USD,US Dollar,0,Units,2015,2015,43143.923377,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2008,2008,USD,US Dollar,0,Units,2015,2015,43104.067187,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2009,2009,USD,US Dollar,0,Units,2015,2015,41372.465992,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2010,2010,USD,US Dollar,0,Units,2015,2015,42179.611953,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2011,2011,USD,US Dollar,0,Units,2015,2015,43079.183451,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2012,2012,USD,US Dollar,0,Units,2015,2015,43362.10927,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2013,2013,USD,US Dollar,0,Units,2015,2015,43904.282914,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2014,2014,USD,US Dollar,0,Units,2015,2015,44714.06339,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2015,2015,USD,US Dollar,0,Units,2015,2015,44670.054374,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2016,2016,USD,US Dollar,0,Units,2015,2015,44625.784347,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2017,2017,USD,US Dollar,0,Units,2015,2015,45431.41617,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2018,2018,USD,US Dollar,0,Units,2015,2015,46022.917358,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HVPVOB,"Per head, constant prices, constant PPPs, OECD base year",2019,2019,USD,US Dollar,0,Units,2015,2015,46232.481111,null,null,null
