LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-11,Nov-2019,PC,Percentage,0,Units,null,null,0.408108992717459,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-12,Dec-2019,PC,Percentage,0,Units,null,null,0.78804878299377,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-01,Jan-2020,PC,Percentage,0,Units,null,null,1.09694541291565,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-02,Feb-2020,PC,Percentage,0,Units,null,null,0.730897009966782,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-03,Mar-2020,PC,Percentage,0,Units,null,null,-0.0175857824121375,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-04,Apr-2020,PC,Percentage,0,Units,null,null,-0.716889926672402,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-05,May-2020,PC,Percentage,0,Units,null,null,-0.915837030071353,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-06,Jun-2020,PC,Percentage,0,Units,null,null,-0.341796375321063,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-07,Jul-2020,PC,Percentage,0,Units,null,null,-0.619896409337578,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-08,Aug-2020,PC,Percentage,0,Units,null,null,-0.519271783142194,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-09,Sep-2020,PC,Percentage,0,Units,null,null,-0.36987811537311,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-10,Oct-2020,PC,Percentage,0,Units,null,null,-0.809175416577381,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-11,Nov-2020,PC,Percentage,0,Units,null,null,-0.814937810058371,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2020-12,Dec-2020,PC,Percentage,0,Units,null,null,-0.532131789267656,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-01,Jan-2021,PC,Percentage,0,Units,null,null,0.457076972173895,null,null,null
